host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,0,Allston,42.35053057,-71.12820937,Apartment,Entire home/apt,2,1,1,1,Real Bed,11,1,0,2,2,5,90,moderate
0,1,Allston,42.36358002,-71.13150505,Apartment,Entire home/apt,4,2,2,2,Real Bed,20,1,0,3,0,0,,strict
0,1,Allston,42.35768318,-71.12936901,Apartment,Entire home/apt,6,2,4,6,Real Bed,19,6,100,4,7,411,83,strict
0,1,Allston,42.35223743,-71.12492056,Apartment,Private room,2,1,1,1,Real Bed,12,1,20,1,0,0,,strict
0,0,Allston,42.35293529,-71.12771394,Apartment,Shared room,2,1,1,1,Real Bed,0,1,0,1,1,0,20,flexible
0,1,Allston,42.36114983,-71.12551284,Apartment,Private room,2,1,1,1,Real Bed,15,1,20,2,46,479,95,strict
0,0,Allston,42.35216084,-71.12938189,Apartment,Private room,2,1,1,1,Real Bed,15,1,5,1,3,8,93,moderate
0,1,Allston,42.34998547,-71.14202092,House,Private room,2,2,1,1,Real Bed,18,1,25,1,47,624,92,strict
0,1,Allston,42.34919132,-71.12944566,Apartment,Entire home/apt,3,1,2,2,Real Bed,18,1,0,3,0,0,,strict
0,1,Allston,42.34784649,-71.1355986,Apartment,Entire home/apt,3,1,0,2,Real Bed,13,1,25,1,4,97,80,moderate
0,1,Allston,42.36126465,-71.12532001,Apartment,Private room,2,1,1,1,Real Bed,13,1,20,2,46,499,96,strict
1,1,Allston,42.36317744,-71.13364064,Apartment,Private room,2,1,1,1,Real Bed,20,2,25,1,52,353,95,flexible
1,1,Allston,42.3552798,-71.13449907,House,Private room,2,2,1,1,Real Bed,16,1,20,1,109,1051,91,strict
0,1,Allston,42.35417082,-71.12753884,Apartment,Entire home/apt,5,1,2,2,Real Bed,16,1,0,2,3,123,80,moderate
0,1,Allston,42.35136743,-71.13299116,House,Private room,2,2,1,1,Real Bed,22,1,100,1,2,9,80,strict
0,1,Allston,42.36565214,-71.1198919,Apartment,Entire home/apt,2,1,1,1,Real Bed,15,1,20,2,1,0,100,moderate
1,1,Allston,42.35524225,-71.13547457,House,Private room,2,2,1,1,Real Bed,18,1,20,1,80,1017,90,strict
