host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,0,Roslindale,42.2826188,-71.13306793,House,Entire home/apt,4,1.5,2,3,Real Bed,14,1,0,2,0,0,,moderate
1,1,Roslindale,42.28882028,-71.1395101,Apartment,Entire home/apt,5,1,2,2,Real Bed,21,4,25,4,33,876,94,strict
0,1,Roslindale,42.28764103,-71.12988287,Apartment,Entire home/apt,5,1,2,3,Real Bed,19,5,30,2,12,68,97,moderate
0,0,Roslindale,42.27440801,-71.12529404,House,Private room,4,1,1,3,Real Bed,15,3,15,3,1,0,100,flexible
0,1,Roslindale,42.27838291,-71.1287801,House,Entire home/apt,8,1,3,5,Real Bed,13,6,0,3,21,378,88,flexible
0,0,Roslindale,42.27683095,-71.12955974,House,Entire home/apt,5,3.5,4,3,Real Bed,15,1,0,14,1,0,100,moderate
0,1,Roslindale,42.27696862,-71.11775586,Apartment,Entire home/apt,6,1,2,2,Real Bed,15,4,20,2,2,58,100,strict
0,1,Roslindale,42.28922069,-71.13071327,Apartment,Entire home/apt,4,1,1,2,Real Bed,14,1,0,1,0,0,,flexible
0,1,Roslindale,42.28214228,-71.12904915,House,Entire home/apt,16,2.5,3,7,Real Bed,19,1,25,1,82,553,95,strict
0,1,Roslindale,42.29061656,-71.13273461,House,Entire home/apt,7,2,3,3,Real Bed,15,5,25,3,2,50,80,strict
1,1,Jamaica Plain,42.32566812,-71.10543389,Apartment,Entire home/apt,4,1,2,2,Real Bed,12,2,15,4,26,530,95,moderate
0,1,Jamaica Plain,42.32038119,-71.11270173,Apartment,Entire home/apt,6,1,2,2,Real Bed,22,1,0,3,47,524,94,moderate
0,1,Jamaica Plain,42.32327561,-71.10705882,House,Entire home/apt,5,2,3,4,Real Bed,14,1,0,2,9,375,87,moderate
0,1,Jamaica Plain,42.32051086,-71.11215759,Apartment,Entire home/apt,8,2,4,6,Real Bed,23,6,15,3,35,1099,91,strict
0,0,Jamaica Plain,42.3090739,-71.11254191,House,Entire home/apt,2,1,1,1,Real Bed,10,1,0,2,9,195,93,flexible
0,0,Jamaica Plain,42.31357234,-71.11381933,Apartment,Entire home/apt,4,1,2,2,Real Bed,25,4,50,5,2,11,90,flexible
0,1,Jamaica Plain,42.29644508,-71.1111878,Condominium,Entire home/apt,7,1,4,4,Real Bed,19,6,0,1,0,0,,flexible
0,1,Jamaica Plain,42.31185272,-71.10926319,Apartment,Entire home/apt,6,2,3,3,Real Bed,12,1,0,4,6,1109,90,strict
1,1,Jamaica Plain,42.31737019,-71.11485899,Apartment,Entire home/apt,6,1,2,2,Real Bed,15,2,35,2,14,756,97,strict
0,1,Jamaica Plain,42.30704885,-71.11662413,House,Entire home/apt,7,2,3,4,Real Bed,18,2,50,2,3,119,93,flexible
1,1,Jamaica Plain,42.30883694,-71.11935092,Apartment,Entire home/apt,2,1,0,1,Real Bed,17,2,0,2,148,759,99,moderate
1,1,Jamaica Plain,42.31923483,-71.10501594,House,Entire home/apt,6,2,2,2,Real Bed,19,3,25,4,24,247,96,strict
0,1,Jamaica Plain,42.3039816,-71.11848461,Apartment,Entire home/apt,4,1,2,2,Real Bed,17,1,0,2,10,490,92,moderate
0,1,Jamaica Plain,42.30484333,-71.10627116,Apartment,Entire home/apt,4,1,2,2,Real Bed,20,4,50,2,41,955,94,moderate
0,1,Jamaica Plain,42.31147167,-71.10529986,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,15,4,20,2,39,764,88,moderate
0,0,Jamaica Plain,42.30983485,-71.11457927,House,Entire home/apt,6,3,3,6,Real Bed,16,1,0,1,2,36,100,flexible
1,1,Jamaica Plain,42.31807257,-71.11267006,Apartment,Entire home/apt,8,2,4,4,Real Bed,18,4,0,2,18,660,99,strict
1,1,Jamaica Plain,42.32394222,-71.10820204,Apartment,Entire home/apt,5,1,2,2,Real Bed,19,4,25,1,13,440,98,moderate
0,1,Jamaica Plain,42.30904986,-71.11253859,Apartment,Entire home/apt,4,1,2,2,Real Bed,20,2,10,2,32,715,98,moderate
0,0,Jamaica Plain,42.30871721,-71.11051776,House,Entire home/apt,6,2,3,4,Real Bed,17,1,0,3,0,0,,flexible
0,1,Jamaica Plain,42.30988682,-71.11789702,House,Entire home/apt,5,2,4,3,Real Bed,12,3,7,6,0,0,,moderate
0,1,Jamaica Plain,42.31395141,-71.11600892,Apartment,Entire home/apt,4,2,2,2,Real Bed,16,1,0,5,4,738,100,flexible
0,1,Jamaica Plain,42.31813877,-71.10367354,Apartment,Entire home/apt,5,1.5,2,3,Real Bed,16,1,0,2,11,373,100,strict
0,1,Jamaica Plain,42.32085835,-71.11249877,Apartment,Entire home/apt,8,1.5,4,4,Real Bed,21,6,25,4,2,694,100,strict
0,1,Jamaica Plain,42.31433572,-71.11641498,Apartment,Entire home/apt,6,1,3,3,Real Bed,21,6,25,1,6,281,100,moderate
0,0,Jamaica Plain,42.30595864,-71.13230208,House,Entire home/apt,6,2.5,4,4,Real Bed,19,5,30,3,1,0,100,strict
0,1,Jamaica Plain,42.3045593,-71.11364252,Apartment,Entire home/apt,4,1,2,2,Real Bed,13,4,0,2,14,1258,97,strict
0,1,Jamaica Plain,42.31556512,-71.11482701,Apartment,Entire home/apt,2,1,1,1,Real Bed,13,2,0,3,8,816,86,strict
0,1,Jamaica Plain,42.3119946,-71.1104509,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,14,2,20,3,0,0,,strict
0,1,Jamaica Plain,42.2974048,-71.11391373,Apartment,Entire home/apt,4,1,2,2,Real Bed,14,4,50,2,29,730,89,strict
0,0,Jamaica Plain,42.31274188,-71.1120145,House,Entire home/apt,6,1,4,4,Real Bed,8,1,0,3,1,0,100,strict
1,1,Jamaica Plain,42.30454928,-71.11553159,Apartment,Entire home/apt,9,1,4,4,Real Bed,23,4,40,2,75,573,97,strict
0,1,Jamaica Plain,42.31465541,-71.09929095,Apartment,Entire home/apt,5,1,2,3,Real Bed,25,4,10,3,20,309,93,moderate
