host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,1,Roslindale,42.28624082,-71.13437396,Apartment,Private room,2,1,1,1,Real Bed,20,0,0,2,36,804,94,moderate
1,1,Roslindale,42.29243789,-71.13576525,Apartment,Private room,2,1,1,1,Real Bed,17,1,20,3,41,2574,98,moderate
0,0,Roslindale,42.28110619,-71.12102117,House,Private room,4,1,1,2,Real Bed,22,2,25,1,1,0,100,moderate
1,1,Roslindale,42.28451221,-71.13625805,House,Private room,2,1.5,1,2,Real Bed,13,1,0,2,29,380,99,flexible
1,1,Roslindale,42.2916898,-71.13189277,Condominium,Private room,2,1,1,1,Real Bed,12,1,0,2,8,130,100,flexible
0,1,Roslindale,42.28138963,-71.13119042,Apartment,Entire home/apt,3,1,1,2,Real Bed,12,1,25,1,57,421,90,strict
1,1,Roslindale,42.2819461,-71.14102161,House,Private room,2,2,1,1,Real Bed,22,1,15,1,67,840,96,moderate
1,1,Roslindale,42.28587764,-71.12490956,Condominium,Private room,2,1,1,2,Real Bed,9,2,0,2,65,355,96,moderate
0,0,Roslindale,42.2864482,-71.13932539,House,Private room,2,1,1,1,Real Bed,15,1,10,1,1,0,80,flexible
1,1,Roslindale,42.28194183,-71.1333719,House,Private room,1,1,1,1,Real Bed,13,1,0,1,17,1032,94,flexible
0,0,Roslindale,42.29172341,-71.13155602,Condominium,Entire home/apt,4,1,2,2,Real Bed,18,1,0,1,1,0,100,flexible
0,1,Roslindale,42.28626474,-71.13706513,House,Entire home/apt,2,1.5,2,2,Real Bed,13,2,35,3,7,340,91,moderate
0,0,Roslindale,42.28145207,-71.12925004,Apartment,Private room,1,0,1,1,Real Bed,14,1,0,1,70,1776,96,strict
0,0,Roslindale,42.29181492,-71.13158793,Condominium,Private room,2,1,1,1,Real Bed,16,1,15,1,1,0,100,flexible
1,1,Roslindale,42.28222476,-71.11518856,House,Private room,1,1,1,1,Real Bed,12,1,10,5,0,0,,strict
