ID,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,health,absences,gender
1,17,4,3,1,2,0,4,3,5,3,9,F
2,15,7,6,1,2,0,5,3,3,2,1,F
3,17,4,3,0,2,0,2,3,3,3,1,F
4,18,5,2,1,1,0,4,5,3,5,2,M
5,16,3,2,1,2,0,5,4,4,4,0,M
6,19,2,2,1,2,0,4,4,5,4,5,F
7,16,4,4,2,2,0,5,4,3,5,6,M
8,17,4,3,1,2,0,3,3,4,2,4,M
9,16,3,1,0,1,0,4,5,3,4,14,M
10,15,7,5,0,1,0,5,3,2,2,0,M
11,18,1,2,1,2,0,4,4,3,2,9,M
12,15,5,5,1,2,0,5,4,1,3,0,M
13,16,3,3,3,3,0,4,3,1,5,9,M
14,19,0,0,2,2,0,3,4,3,3,6,M
15,16,4,4,1,2,0,5,3,2,2,10,M
16,15,5,4,0,3,0,4,3,1,3,9,F
17,16,3,3,2,4,0,5,2,4,4,12,F
18,16,2,3,2,3,0,4,2,4,2,3,F
19,16,3,2,2,4,0,3,2,4,3,1,F
20,16,2,2,1,2,0,5,3,3,3,1,F
21,15,3,4,2,2,0,4,3,4,1,6,F
22,15,4,3,2,4,0,5,3,3,4,9,F
23,16,4,3,0,2,0,5,3,4,3,1,F
24,17,2,2,0,3,0,2,4,2,1,1,F
25,18,5,2,0,3,0,3,4,6,5,0,F
26,17,3,2,2,2,0,5,4,4,5,10,M
27,16,5,4,0,2,0,5,3,3,3,4,F
28,17,4,3,3,3,0,4,3,0,2,2,F
29,16,3,3,2,3,0,4,3,2,4,8,F
30,16,3,2,1,3,0,3,3,1,2,1,F
31,17,2,2,1,3,0,3,3,5,5,17,F
32,15,4,3,1,4,0,4,2,3,4,11,F
33,18,4,2,1,2,0,4,3,5,6,3,F
34,17,6,3,0,2,0,5,4,3,4,5,F
35,17,4,1,0,1,0,4,4,3,5,0,M
36,16,3,3,2,1,0,5,4,3,5,5,M
37,18,3,2,0,2,0,3,4,4,2,8,F
38,16,2,2,2,3,0,4,4,2,2,0,F
39,16,4,3,2,3,0,4,3,4,4,3,F
40,16,6,4,1,1,0,4,3,3,5,2,F
41,15,3,3,2,2,0,5,3,3,4,0,F
42,15,2,3,2,2,0,4,3,2,4,0,M
43,15,5,5,2,2,0,5,3,3,4,1,M
44,15,5,4,1,3,0,5,2,4,5,0,F
45,17,4,4,0,1,0,4,4,2,5,6,M
46,18,4,2,0,1,0,2,4,3,2,2,F
47,16,6,4,1,1,0,5,4,4,6,0,M
48,15,5,4,0,2,0,5,3,1,4,0,F
49,16,3,4,1,3,0,4,2,3,2,2,F
50,16,2,2,3,3,0,5,3,3,4,8,M
51,16,5,4,1,2,0,4,2,4,3,3,F
52,15,5,4,1,2,0,5,3,3,5,0,M
53,16,5,5,1,3,0,4,3,4,2,9,F
54,15,6,5,0,1,0,4,3,2,1,1,F
55,16,4,4,0,1,0,4,4,2,4,1,M
56,16,7,6,1,2,0,4,4,4,3,1,M
57,16,3,3,0,2,0,4,2,3,4,10,F
58,17,3,1,1,2,0,4,3,4,6,16,F
59,17,2,2,2,3,0,5,3,5,5,20,M
60,18,1,1,2,3,0,2,3,3,1,7,F
61,15,5,5,0,2,0,4,2,2,1,1,F
62,16,5,4,2,2,0,5,3,4,5,7,M
63,17,4,2,1,2,0,4,5,4,6,0,M
64,16,6,5,0,1,0,4,4,3,4,0,F
65,15,3,4,2,1,0,5,3,2,3,1,M
66,16,5,3,1,2,0,5,3,2,4,8,F
67,17,4,3,2,2,0,5,3,5,5,20,M
68,17,4,3,1,2,0,5,4,5,6,9,M
69,18,5,3,2,2,0,5,3,4,6,8,M
70,18,2,2,0,1,0,2,3,2,2,9,M
