ID,Salary,Job Description
1,,"TASK FORCE: 		FMS Financial Planning and Maintenance, Energy, Leases and Revenue Reporting                        UNIT: 			Revenue Reporting  JOB TITLE: 		One (1) Analyst / Senior Analyst  CONTROL CODE: 	BCC-19-02   SUMMARY:  The Mayorâ€™s Office of Management and Budget (OMB) is the City government's chief financial agency. OMB's staff of analysts and experts assembles and oversees the Mayorâ€™s expense and capital budgets, which fund the services and activities of approximately 70 City agencies.    The FMS Financial Planning and Maintenance, Energy, Leases and Revenue Reporting Unit is responsible for the technical implementation of the Cityâ€™s expense and revenue budgets in the Cityâ€™s Financial Management Systems (FMS) during budget preparation and for maintaining the budget during the year. The unit is responsible for implementing system updates to reflect technology changes. The unit also reviews and monitors energy usage, prices and market conditions for projecting energy costs to be included in agency budgets.  The unit is also responsible for the submission and reviewing of the citywide revenue recognition and cash collection Plans from all city agencies. In addition, the unit reviews and monitors citywide revenue and cash flows to be reflected in the monthly Financial Plan Statements (FPS).   JOB DESCRIPTION:  The duties of this position encompass the following activities:  â€¢	Monitor and control revenue and cash plans, monitor projected fiscal year revenue levels for categorical revenues.  â€¢	Analyze monthly cash flow variances at month-end close, assist in preparing FMS entries for revenue and cash modifications.  â€¢	Prepare various monthly revenue and cash variance and forecast reports, act as liaison between OBR and task force budget staff for report distribution.  â€¢	Assist in preparation of monthly citywide Financial Plan Statements (FPS) report.  â€¢	Maintain systems for revenue modifications and for revenue chart of accounts.  â€¢	Maintain and control FMS budget preparation maintenance and Financial Plan tables.  â€¢	Monitor and control the revenue budget process, assist task force analysts in the preparation of the revenue/expense budget modifications."
2,,"The NYC Department of Probation (DOP) is a world leader in working creatively and effectively engaging with people under court-mandated community supervision. Through innovative partnerships with people and organizations throughout the New York City, DOP provides opportunities for those on probation to access services and opportunities that positively impact their life trajectory. Following the best current data on â€œwhat works,â€ staff at DOP engage in meaningful relationships with those on probation in an effort to enhance community safety and decrease recidivism. DOP is seeking qualified candidates with computer software experience in computer systems development and analysis, applications mobile development, and/or web development and design. The selected candidate will report to the Senior IT Architect within the Information Technology Department and specific duties may include; but are not limited to:  â€¢	Developing applications with some or all of following technologies:.NET web applications leveraging the ASP.NET MVC Architecture and technologies such as: Technologies currently in use by NYC DOP: ASP.NET MVC, Kendo UI, TypeScript, Javascript, Web API, database, c# code, etc., â€¢	Developing, debugging, testing, deploying web application using above technologies,  â€¢	Developing  modules for new and current applications in MVC: interface, backend c# code, database objects, etc., â€¢	Providing support on any new or existing software project, â€¢	Documenting software projects, â€¢	Testing  and debugging projects, â€¢	Performing other related software development life cycle duties."
3,,"The New York City Taxi and Limousine Commission (TLC) is the nationâ€™s largest for-hire transportation agency, licensing and regulating the Cityâ€™s yellow and green taxicabs, for-hire vehicles (including apps like Uber, Lyft, Via and Juno), commuter vans, and luxury limousines. TLC develops and enforces rules to promote safety, transparency, as well as consumer and driver protection for a vital mode of transport in New York City. The vehicles, businesses, and drivers licensed and regulated by the agency move over one million people per day. With the introduction of new apps and technologies, TLC is on the front lines of a changing mobility landscape in New York City. TLC collaborates with renowned universities on data analysis, builds partnerships with leaders around the globe on the future of transportation, and works to streamline agency operations to meet the demands of a changing industry. TLC is a committed partner of the Mayorâ€™s Vision Zero initiative to end traffic fatalities and a leader in citywide initiatives, including Open Data and the growth of the Cityâ€™s wheelchair accessible taxi and for-hire vehicle fleets.  General Statement of Duties and Responsibilities  The TLC Information Technology department is looking for a Quality Analyst Lead â€“ Digital Solutions who will help the agency achieve its goals through error free quality delivery and use exceptional quality assurance skill and confidence to facilitate cross functional project teams and communicate testing strategy clearly with agency stakeholders. TLCâ€™s IT Divisions is a team of 30 talented IT professionals with a big job.  They:  â€¢	Develop custom software for internal agency use and public use, such as license application web portals and regulatory compliance tracking systems. â€¢	Collect, manage and help analyze some of the most important and fascinating transportation datasets in the city.  â€¢	Partner with TLC policymakers in the development in new data-driven initiatives. â€¢	Provide day-to-day IT support to a diverse staff of 600 in five facilities, including a 24/7 field enforcement operation, a vehicle inspection facility, a call center, corporate staff (legal, policy, programs, finance, administration, HR) and busy licensing and prosecution teams. â€¢	Set up and maintain network infrastructure in TLCâ€™s facilities, developing and implementing new features to increase usability, security, etc. â€¢	Oversee external technology vendors customizing a wide variety of systems/equipment (e.g., a vehicle inspection system, hand-held summons issuing devices, car camera systems) for TLC use, including carrying out integration between these systems and TLCâ€™s systems.  â€¢	Advise other TLC divisions on technology-related projects and policies.   Candidate will be a self-starter with sharp eye for details and ability to lead work in a fast paced and ever-changing environment. Candidate will be responsible for reviewing requirements, defining and executing test plans in order to ensure that end product/delivery meets requirements specification through all stages of software development life cycle.  Responsibilities include:  â€¢	Review business requirements, specifications and technical design documents and provide timely, meaningful feedback â€¢	Estimate, prioritize, plan and coordinate cross functional testing activities  â€¢	Create detailed, comprehensive and structured test plans, test cases, requirements traceability metrics, data mapping â€¢	Design, develop and execute test scripts using testing tools on both desktop and mobile devices â€¢	Convert complex requirements to test cases and test plans â€¢	Identify, document and track defects â€¢	Perform integration and regression testing  â€¢	Manage and delegate tasks to QA team members â€¢	Track quality assurance metrics and work with tech staff to improve results â€¢	Stay up to date with new testing tools and strategies â€¢	Implements quality assurance and best practices â€¢	Ensures projects adhere to agreed-upon functional specifications and applicable quality assurance standards â€¢	Coordinate user acceptance testing (UAT) with all divisional agency stakeholders â€¢	Strong experience with cross browser and cross platform testing (PC, mobile and tablet) â€¢	Participate in root cause analysis of defects â€¢	Escalate issues when required    MUST BE CURRENTLY SERVING AS A  PERMANENT COMPUTER SPECIALIST (STWR) TO APPLY."
4,,"The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution.  DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees.  DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throughout the systemâ€™s 2,000 square mile watershed that extends 125 miles north and west of the City.  New York City has approximately 140,000 catch basins, 114,000 hydrants, 90,000 valves, 14 gatehouses, 3 reservoirs, 68 groundwater wells, a 100 million gallon underground storage tank and 7,000 miles each of both sanitary sewers and water mains. The responsibility of maintaining these vast networks falls under the Department of Environmental Protectionâ€™s Bureau of Water and Sewer Operations (BWSO).  Under direct supervision, with little latitude for independent judgment, the selected candidates will serve as supervisor of the inspection unit and manage the office smoothly, provide guidance on policy and oversee any observed problems. Also, dynamically supervised and administrated staffs for the daily inspections/operations including engineers, and technicians.  â€¢	Actively supervises and administrates inspection staffs (approx. 20 employees) for the daily operations in connections including engineers, and technicians.  â€¢	Supervises and advises inspection staffs for the examination of the construction, alteration or repair of buildings and infrastructure on all matters within the connections. Resolves 95% of program related problems within 24 hours of identification. â€¢	Supervises the office, provide guidance on policy and oversee any observed problems. Maintains detailed and accurate records of inspections and reports, reports accurately on the events that transpire, secures and evaluates all facts and arrives at a sound conclusion. â€¢	Technical conflicts are resolved immediately to minimize potential impacts on program reporting. Responds regarding issues and questions on construction and processing of connections.  â€¢	Reviews all necessary information and statistics in the preparation of weekly, monthly and yearly metrics and other reports, as required.  Assuring the availability of adequate supplies, equipment, and facilities, and overseeing logistical operations.  â€¢	Analyzes and researches all related facts to make recommendations for action/response including all federal, state, and local requirements and regulations governing connections. Engages in studies, investigation or examinations related to the engineering functions or activities of the department, including the Connection & Permitting. Provides technical engineering support to other DEP units as necessary.  ***ALL CANDIDATES MUST BE PERMANENT IN THE TITLE OF CONSTRUCTION PROJECT MANAGER TO BE CONSIDERED ***"
5,,"Job Description  The New York City Taxi and Limousine Commission (TLC) is responsible for regulating New York City's taxicab and for-hire vehicle industry.  TLC licenses and regulates over 130,000 vehicles and more than 175,000 drivers, making it the most active taxi and limousine regulatory agency in the United States.  Aside from vehicles and drivers, TLC also regulates taxicab agents and for-hire vehicle bases, including popular app-based transportation services. The TLC plays a pivotal role in furthering public safety within New York City and is a lead agency in a citywide effort to reduce traffic-related injuries.  One of the largest components of TLCâ€™s operations is the enforcement of administrative regulations   The Prosecution Division investigates and prosecutes over 100,000 summonses annually which consist of administrative, field and consumer-initiated complaints. The division prosecutes a wide range of violations including reckless driving, unlicensed operation, illegal street pickups, harassment and service refusals. Under the supervision of the Senior Supervising Attorney and the direction of the Managing Attorney and Assistant Commissioner, the Supervising Attorney â€“ Equity and Inclusion will work closely with the TLCâ€™s Office of Inclusion to study and combat discriminatory service refusals based on a passengerâ€™s race, gender, religion, sexual orientation, disability or destination.  Responsibilities will include, but not be limited to: â€¢	Supervise attorneys conducting intake and investigation of complaints relating to service refusals and other discriminatory misconduct. â€¢	Gather data and compile statistical reports for TLC Office of Inclusion and senior staff to determine complaint frequency, geographical concentration or other demographical information. â€¢	Review and assess complaint trends in order to develop recommendations for policy and practice changes consistent with TLC rules as well as local, state and federal human rights laws. â€¢	Collaborate with TLC enforcement officers and conduct trainings to improve the effectiveness of on-street enforcement of TLC rules concerning illegal trip refusals. â€¢	Develop creative solutions to improve public awareness about available remedies for and investigations of alleged trip refusals. â€¢	Represent the Prosecution Division at public meetings and outreach events related to equity and inclusion."
6,,"The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New York, and we collect and treat an average of 1.3 billion gallons of wastewater per day.   The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage, including wastewater treatment plants, collections facilities (pumping stations, combined sewer overflow retention facilities, regulators, tide gates), wastewater laboratories, harbor vessels and sludge dewatering facilities.  Under the supervision of the Section Chief or Area Engineer, the selected candidate will be responsible for performing very complex and specialized work as an engineering specialist in Mechanical Engineering. The selected candidate will serve as a consultant on very complex and highly specialized and unique mechanical engineering matters. The selected candidate will conduct/direct a significant portion of research on very complex, unique, and important mechanical engineering projects. He /she will oversee the preparation or review of proposals or reports of technical complexity with potential impact on agency engineering operations, review the reports and make recommendations. The selected candidate will present proposals to Bureau Management. The selected candidate will also be expected to sign and seal Engineering and other Documents. The selected Candidate may also serve as team leader on an Engineering project of great technical complexity or with potential impact on Engineering Operations. The selected candidate will be expected to prepare capital and large and complex Job Order Contracts (JOC) in accordance with Bureau standards and applicable NYC Building and construction codes and have knowledge of the Cities capital procurement process. The selected candidate will also be expected to make information available to management using the Bureauâ€™s CMMS tracking software."
7,,"â€¢ Under supervision, perform all types of work required for the planting, maintenance and removal of trees and large shrubs. â€¢ Climb, prune, brace, cut and fell trees and large shrubs. â€¢ Operate bucket truck, including aerial lift and cherry picker, as well as chipper and other similar equipment. â€¢ Identify hazard defects of trees and ensure public safety. â€¢ Spray trees and large shrubs and perform tree inspections. â€¢ Identify trees by species and inspect for the Asian Longhorned Beetle and other pests and diseases. â€¢ Prepare and use composting sites."
8,,"The New York City Department of Design and Construction, Division of Public Buildings seeks a Senior Project Manager to work in the Libraries Unit planning, directing and coordinating construction. The selected candidate will manage complex capital commitment projects; review proposed projects to determine how and when the work should be performed; work with clients from project inception to completion to ensure an understanding of each projectâ€™s scope and vision; generate cost estimates to determine the bid price for the project; develop and manage deliverable dates to complete assigned projects in a timely and cost-effective manner.  In addition, supervise, coordinate, and direct construction staff; resolve construction/design issues; negotiate with contractors and vendors; process and review change orders and project estimates; ensure that all safety precautions are adhered to, and work is completed on schedule; generate reports, attend meetings and oversee contractorsâ€™ performance."
9,,"Under the general supervision of the Borough Chief and the Deputy Borough Chiefs, the Assistant Borough Chief assists in the oversight of the daily operations of the Borough Office.   Duties include: â€¢	general supervision of unit staff; â€¢	supervision of the EBT desk, EBT clerk, and all EBT issues;  â€¢	general supervision of the proper functioning of the borough office;  â€¢	general supervision of the PC and Post-Note-Of-Issue projects; meet regularly with paralegals and claims specialists with respect to these projects; â€¢	the training, supervision, and evaluation of staff attorneys, clerical and support staff;  â€¢	conducting regular meetings with management staff, attorneys, and support staff;  â€¢	interfacing with senior court personnel and Comptrollerâ€™s representatives;  â€¢	ensuring the efficient and timely operation of office procedures and programs, such as pre-trial and in-court settlement programs, the Intake Program, and RFA program;  â€¢	helping to ensure proper handling of responsive and affirmative motions; â€¢	ensuring that note-of-issue reviews and summary judgment deadlines are met;  â€¢	general supervision of the processing of settlements;  â€¢	ensuring the proper handling of mail and efficient and current file room maintenance;  â€¢	ensuring the accurate data entry of litigation events; â€¢	negotiating settlements; conducting settlement conferences;  â€¢	helping to ensure that boroughâ€™s highest-exposure cases are being prepared or settled; â€¢	 helping to supervise the pre-trial parts;  â€¢	ensuring timely compliance with court-ordered deadlines; â€¢	regularly evaluating office processes and recommending and implementing changes to promote efficiency, productivity, and quality;  â€¢	helping maintain library learning and applying electronic research and legal research tools;  â€¢	learning and applying electronic calendaring and management programs;  â€¢	helping to ensure that borough office caseload is flowing appropriately; and â€¢	ensuring that case backlogs are not accumulating."
10,,"Job Description  Under supervision, instruct and supervise the Housing Caretakers responsible for cleaning and maintaining the grounds, public spaces and stair halls of public housing projects in proper condition; perform related work.   1. Make assignments, trains, and checks performance of Housing Caretakers.  2. Report move-ins and move-outs.  3. Handle tenant lockouts.  4. Fill out work orders as a result of apartment inspections.  5. Report any hazardous conditions observed in any part of the project.   Please read this posting carefully to make certain you meet the minimum qualification requirements before applying to this position."
