id,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,12600,68800,86000,DebtCon,Mgr,3,2,1,202.8666667,8,26,
2,27000,144901,178093,DebtCon,ProfExe,7,0,0,331.1139721,0,34,40.5665519
3,20000,104000,139900,DebtCon,Other,15,1,1,95.36666667,4,49,
4,19000,122000,158000,DebtCon,Office,2,,1,374.0333333,,52,
5,8800,33395,51057,DebtCon,Office,2,0,0,80.82247969,1,20,16.88303101
6,12000,59099,82000,DebtCon,Other,10,0,2,219.1333333,0,33,
7,36100,233417,324987,HomeImp,ProfExe,4,0,0,152.2454279,0,25,21.86293891
8,22000,81668,123978,DebtCon,Other,8,0,0,285.1417502,1,16,37.41710801
9,37500,111248,159739,DebtCon,Other,,0,0,260.0814842,2,13,36.39334812
10,7000,74500,81600,HomeImp,ProfExe,2,2,0,340.9,0,29,
11,24000,35000,,DebtCon,Self,3,1,0,177.5,0,16,
12,20000,30000,46500,HomeImp,Self,5,1,,127.6,,11,
13,6700,,81239,HomeImp,Other,19,,,,,,40.8949317
14,26000,43314,71303,DebtCon,Other,8,0,7,246.3186749,3,23,43.21523351
15,7800,,11702,HomeImp,Other,0,0,0,44.62959157,2,7,21.27178537
16,9700,,54385,HomeImp,Other,10,0,0,314.7328327,1,13,34.17040354
17,27700,83300,,HomeImp,Mgr,20,1,4,247.9333333,1,19,
18,28200,100353,131386,DebtCon,Office,9,0,0,146.0654833,0,28,38.67920763
19,11700,47072,85090,HomeImp,Other,18,0,0,192.2531823,0,16,35.06486468
20,38700,33465,71449,DebtCon,ProfExe,6,0,0,172.767888,2,17,25.31284163
21,13400,88810,102409,HomeImp,Other,19,0,0,145.7565967,4,24,31.33641826
22,11400,112930,144830,DebtCon,ProfExe,2,0,0,271.2380373,1,46,33.25107931
23,19800,69174,95154,HomeImp,ProfExe,6,0,0,59.45925619,0,16,31.25482163
24,21000,42000,67000,DebtCon,Office,7,0,0,65.96666667,2,18,
25,27600,60039,86166,DebtCon,Office,0,0,0,100.9493217,0,23,33.82093404
26,7500,72097,69408,HomeImp,Sales,4,1,0,155.3919622,1,23,41.60098336
27,18500,38145,59415,HomeImp,Other,25,0,0,241.8973574,0,14,23.87079226
28,15900,89500,104200,DebtCon,ProfExe,15,0,3,183.6333333,0,37,
29,18300,35975,60500,DebtCon,Office,13,0,2,118.6666667,1,22,
30,7200,36264,48240,DebtCon,Other,15,0,0,82.16666667,0,12,
31,7000,46238,66842,DebtCon,Office,4,0,0,90.38040908,3,11,36.30952679
32,18000,90275,135792,DebtCon,Mgr,13,0,0,178.661764,1,26,33.33696079
33,26800,89146,128923,DebtCon,Mgr,7,2,1,114.4619553,7,16,2.83029717
34,19900,170947,222227,DebtCon,Office,13,0,0,220.0164639,1,31,42.23579636
35,16400,74904,92308,DebtCon,Other,6,0,0,202.4904448,3,19,42.42034531
36,29500,232801,289260,DebtCon,ProfExe,13,0,0,264.4315076,2,25,26.98136309
37,28700,107281,155874,DebtCon,ProfExe,10,0,0,173.8358358,0,17,32.74036849
38,34800,121399,164000,DebtCon,Office,11,0,1,208,2,34,
39,15000,20000,47394,HomeImp,Other,13,0,0,66.13333333,0,11,
40,5000,,52000,HomeImp,Other,,0,1,285.3333333,0,6,
41,25300,115226,153900,DebtCon,Office,6,,,303.0140835,2,36,41.71511069
42,24700,44306,74197,DebtCon,Other,5,0,0,73.71525064,1,18,35.44157026
43,6200,73881,98550,HomeImp,Other,0,0,1,182.8787798,0,31,37.19944569
44,10200,60180,72370,DebtCon,Mgr,5,,,125.2948667,,23,42.50461354
45,11000,62227,81250,DebtCon,Office,9,0,5,123.7666667,3,34,
46,23900,16082,31196,DebtCon,Other,17,2,0,123.3686461,1,19,26.71625685
47,6500,81145,117530,HomeImp,Office,29,0,0,327.2006385,1,38,34.34583769
48,17000,89600,115000,DebtCon,Self,20,,3,99.26666667,0,23,
49,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,
50,9500,58185,64576,DebtCon,Mgr,6,,4,127.8552645,1,11,38.29830913
51,23000,163805,216500,HomeImp,Self,3.5,,,,,,
52,11000,48893,113223,DebtCon,ProfExe,7,0,1,237.0980813,0,9,22.00337641
53,15500,36650,62963,DebtCon,ProfExe,6,0,0,260.8567886,0,16,24.29905935
54,39000,399412,511164,DebtCon,ProfExe,5,0,0,181.9624008,0,21,43.73003185
55,38200,128081,196037,DebtCon,Mgr,,0,0,197.8654921,0,24,32.56785691
56,13700,73600,92000,DebtCon,ProfExe,9,1,2,347.9666667,,42,
57,8300,178745,251935,DebtCon,Sales,,0,0,130.7309108,0,22,42.35805988
58,9800,49298,73426,HomeImp,Office,9,3,1,242.3890162,1,29,34.69036125
59,11000,77517,86214,HomeImp,ProfExe,2,2,0,352.3791379,0,28,28.03021421
60,7500,,40150,HomeImp,Other,5,0,0,,1,0,
61,17400,45861,61256,DebtCon,Other,7,0,0,132.0192267,3,48,30.18656747
62,12800,67060,83989,DebtCon,Office,9,,3,116.4667574,2,24,43.57230751
63,23300,36000,,DebtCon,Other,19,4,0,113.5666667,2,20,
64,15000,61265,,DebtCon,Office,22,0,0,186.6666667,1,21,
65,7400,51974,59323,HomeImp,Other,4,0,0,83.34671188,0,18,23.39763463
66,45700,118247,174711,DebtCon,Self,11,0,0,170.6522245,0,5,37.73075139
67,8800,51740,60852,DebtCon,Other,23,0,0,277.5895886,3,29,39.88548381
68,20800,,78483,DebtCon,Sales,2,0,0,412.0148731,0,23,21.94584905
69,18700,11886,63762,DebtCon,Sales,0,0,0,315.2604995,0,5,39.67583359
70,19300,31950,53814,DebtCon,ProfExe,17,0,0,178.4596372,1,20,37.13471233
71,11800,32257,59515,DebtCon,Office,23,0,0,231.5999445,0,29,25.70127642
72,15000,73500,105000,DebtCon,Other,1,0,2,205.9333333,2,25,
73,10900,49352,56529,DebtCon,Other,7,0,1,78.83361763,2,23,36.17495524
74,18600,51936,75278,DebtCon,ProfExe,3,0,0,199.8017542,0,21,36.99564584
75,21800,80092,98561,DebtCon,Mgr,5,0,0,73.31793013,7,24,37.13828397
76,8700,51033,58513,DebtCon,Office,2,0,0,181.8697515,0,20,37.87927834
77,32500,193409,297294,DebtCon,Other,30,0,0,150.7998535,0,22,40.59278045
78,8000,28000,41950,DebtCon,Office,2,0,0,103.4,1,20,
79,28500,108293,135317,DebtCon,Other,5,0,0,219.6152519,4,43,31.20973109
80,27000,13718,35684,DebtCon,Other,16,2,0,122.2944468,1,18,24.35575958
81,10200,86400,113698,HomeImp,ProfExe,11,0,1,181.542927,0,27,35.03165088
82,16000,88238,117500,DebtCon,Other,4,0,3,176.4666667,5,34,
83,9900,72674,89909,DebtCon,Office,15,0,1,90.95789952,0,8,27.35463407
84,12300,64265,90956,DebtCon,Other,10,0,1,233.1561248,0,32,32.90882386
85,15000,48882,156000,DebtCon,ProfExe,20,0,0,239.5,0,28,
86,15600,62582,131510,DebtCon,Self,2,0,2,122.6040529,1,17,38.5882224
87,23500,146371,179434,DebtCon,ProfExe,6,,,195.1781446,4,43,39.94505447
88,32900,49709,101222,DebtCon,Office,2,0,0,181.9098245,2,24,35.04559626
89,5600,53793,66379,HomeImp,Office,22,0,0,206.0991341,0,19,18.36954053
90,23600,87875,139025,DebtCon,Other,10,0,0,112.9125146,2,15,38.50589728
91,11100,80922,95105,DebtCon,Other,3,0,0,90.88129226,2,31,38.12081058
92,11600,44623,,HomeImp,ProfExe,13,6,2,178.0932217,0,29,21.33465191
