ID,androidsensoraccelerometermean,androidsensoraccelerometermin,androidsensoraccelerometermax,androidsensoraccelerometerstd,androidsensorgyroscopemean,androidsensorgyroscopemin,androidsensorgyroscopemax,androidsensorgyroscopestd,soundmean,soundmin,soundmax,soundstd
1,9.269925275,6.458198247,12.45346891,1.963305175,1.410481732,0.285298414,3.133533328,0.766681211,89.79720169,89.79720169,89.79720169,0.036932486
2,10.17983185,10.1374337,10.20768307,0.020379994,0.007155293,0.001651407,0.018647489,0.003956327,84.35073166,84.35073166,84.35073166,0.923820465
3,9.458761191,9.199224155,9.7677102,0.189956147,0.027359047,0.012996617,0.044298165,0.009997897,71.66170733,71.66170733,71.66170733,0.149747512
4,9.772328306,8.313984875,11.0348989,0.732177034,0.026780204,0.012018319,0.042494722,0.00837217,89.75605496,89.75605496,89.75605496,0.081124276
5,9.841379795,9.827185353,9.865235978,0.009004119,0.00353082,0.002731872,0.004405012,0.000839104,36.25826713,36.25826713,36.25826713,1.275290136
6,10.02000884,6.987287129,14.52650409,1.80474904,1.86820699,0.046650273,10.58923474,2.130389742,75.8042954,75.8042954,75.8042954,1.732834414
7,9.639539928,9.494839707,9.789383743,0.096544604,0.113618438,0.012347124,0.475801682,0.11913645,85.78196398,85.78196398,85.78196398,0.005790903
8,9.818132599,7.469431643,11.93348573,0.766294091,0.022823809,0.022823809,0.022823809,0.025361598,82.45610926,82.45610926,82.45610926,1.464632749
9,9.939895389,9.891717841,9.973186052,0.019568546,0.022526564,0.005179567,0.068794883,0.013288459,89.78651102,89.78651102,89.78651102,0.03843474
10,9.933200724,9.917427465,9.952118662,0.012604642,0.012886957,0.002296435,0.039462915,0.008889327,89.29485674,89.29485674,89.29485674,0.453661305
11,9.881547391,8.066690287,11.5561103,0.737191918,0.275770316,0.275770316,0.275770316,0.0146028,78.22421786,78.22421786,78.22421786,0.417260371
12,9.376704592,8.482786676,9.869891359,0.488198815,0.077270369,0.033023626,0.140341822,0.038877838,71.66170733,71.66170733,71.66170733,0.149747512
13,9.831355746,9.816834291,9.865245275,0.012113318,0.003665192,0.003665192,0.003665192,0.00130067,0,0,0,0
14,9.839258031,9.826550701,9.8646921,0.010552971,0.002443461,0.002443461,0.002443461,0.001067832,75.8113325,75.8113325,75.8113325,3.561159074
15,9.746032746,9.405553222,10.33773552,0.201822387,0.01703494,0.007146011,0.032099655,0.006805524,76.82092931,76.82092931,76.82092931,0.859132685
